funcName,lable,paramList,cyclomaticNum,loopNum,nestingDegree,SLOC,ALOC,localVars,localPtrVars,pointerArgs,callees,callers,height,conditions,cmps,jmps,ptrAssn
main,1,0.11,0.43,0,0.96,0.82,0.68,0.63,0.23,0.1,1,0,1,0.89,0.29,0.38,0.03
parse_args,1,0,0.75,0,0.83,1,0.85,1,0.18,1,0.46,0.03,0.83,1,1,0.97,0.5
userauth_hostbased,1,0.05,0.57,0,0.65,0.11,0.64,0.31,0.31,0,0.25,0,1,0.13,0.51,0.51,0
pubkey_prepare,1,0.05,0.47,0,0.65,0.2,0.64,0.14,0.33,0,0.17,0,0.69,0.15,0.36,0.72,0
ssh_packet_read_poll2,1,0.16,0.91,0,0.62,0.2,0.85,0.23,0.25,0.2,0.3,0,0.54,0.34,0.75,0.97,0.06
_TIFFVGetField,1,0.3,0.75,0,0.6,1,0.63,0.05,0.7,0,0.03,0,1,0.14,0.92,0.89,0
newkeys_from_blob,1,0.16,0.25,0,0.58,0.06,0.32,0.11,0.28,0,0.08,0,0.92,0.08,0.29,0.3,0
userauth_pubkey,1,0.05,0.12,0,0.58,0.03,0.21,0.03,0.14,0,0.05,0,1,0.05,0.03,0.15,0
main,1,0,0.62,0,0.56,0.54,0.77,0.91,0.58,0.5,1,0.13,1,0.4,0.81,0.64,0
client_x11_get_proto,1,0.32,0.43,0,0.54,0.2,0.65,0.34,0.15,0.4,0.12,0,0.77,0.15,0.42,0.49,0.06
newkeys_to_blob,1,0.16,0.2,0,0.54,0.04,0.26,0.03,0.28,0,0.07,0,0.92,0.06,0.27,0.24,0
get_default_root,1,0.3,0.12,0,0.53,0.09,0.2,0.09,0.07,0.14,0.05,0,0.89,0.12,0.13,0.12,0.04
pr_data_xfer,1,0.2,0.3,0,0.53,0.22,0.37,0.13,0,0.14,0.14,0,0.95,0.3,0.59,0.59,0
_TIFFFax3fillruns,1,0.4,0.08,1,0.5,0.14,0.27,0.33,0.03,0.3,0.02,0,1,0.21,0.33,0.23,0.37
order_hostkeyalgs,1,0.16,0.2,0,0.5,0.05,0.33,0.29,0.06,0.1,0.07,0,0.69,0.05,0.07,0.18,0.06
gtStripSeparate,1,0.4,0.23,0,0.47,0.1,0.37,1,0.83,0.1,0.13,0,1,0.16,0.05,0.12,0.11
ssh_proxy_fdpass_connect,1,0.16,0.21,0,0.46,0.07,0.27,0.14,0.02,0.2,0.1,0,0.77,0.09,0.14,0.15,0
x11_open_helper,1,0.05,0.18,0,0.46,0.05,0.31,0.09,0.03,0,0.05,0,0.92,0.06,0.14,0.23,0
client_x11_display_valid,1,0.05,0.06,0,0.46,0.02,0.13,0.06,0,0.1,0.02,0,0.69,0.02,0.03,0.08,0
ssh_packet_set_postauth,1,0.05,0.06,0,0.46,0.02,0.12,0.06,0.08,0,0.01,0,0.92,0.02,0.05,0.08,0
ssh_session,1,0,0.46,0,0.46,0.16,0.61,0.2,0.03,0,0.22,0,0.85,0.15,0.2,0.35,0
pr_cmd_dispatch_phase,1,0.3,0.15,0,0.44,0.12,0.17,0.13,0.07,0,0.14,0.01,0.79,0.16,0.21,0.22,0.04
sudo_edit_open,1,0,0.09,0,0.44,0.12,0.14,0.27,0.34,0.25,0.17,0.19,0.5,0.14,0.05,0.11,0
gtTileSeparate,1,0.4,0.14,0,0.43,0.12,0.4,0.95,0.83,0.1,0.12,0,1,0.17,0.06,0.12,0.11
sshkey_load_file,1,0.11,0.14,0,0.42,0.04,0.21,0.09,0.03,0,0.03,0,0.69,0.06,0.12,0.19,0
png_do_rgb_to_gray,1,0.27,0.24,0.19,0.4,0.12,0.42,0,0,0,0.03,0,0.88,0.22,0.24,0.31,0.13
tcp_print,1,0.5,0,0,0.39,0.29,0,0.43,0.56,0,0.57,0.01,1,0.54,0,0,0
get_process_ttyname,1,0,0.2,0,0.39,0.08,0.33,0.73,0.05,0.25,0.07,0.03,0.67,0.07,0.35,0.29,0
sudo_edit_open_nonwritable,1,0,0.15,0,0.39,0.17,0.27,0.45,0.34,0.25,0.13,0.06,0.33,0.17,0.27,0.27,0
png_combine_row,1,0.27,0.81,0.01,0.38,1,0.54,0,0,0,0.31,0.04,0.94,0.4,0.48,0.53,0.08
mux_session_confirm,1,0.16,0.23,0,0.38,0.08,0.43,0.06,0.35,0.1,0.13,0,1,0.07,0.08,0.17,0
kex_input_kexinit,1,0.16,0.19,0,0.38,0.04,0.23,0.11,0.22,0.1,0.04,0,1,0.08,0.2,0.27,0
key_certify,1,0.11,0.03,0,0.38,0.01,0.08,0.03,0.1,0,0.02,0,1,0.01,0.02,0.02,0
cap_to_text,1,0.2,0.15,0,0.35,0.06,0.2,0.22,0.01,0.14,0.04,0,0.89,0.19,0.23,0.45,0.08
ssh_session2_setup,1,0.16,0.11,0,0.35,0.04,0.26,0.11,0.03,0.1,0.05,0,1,0.03,0.03,0.09,0
packet_read_seqnr,1,0.05,0.03,0,0.35,0.01,0.08,0.06,0,0.1,0.01,0,1,0.01,0.02,0.02,0
kex_input_newkeys,1,0.16,0.03,0,0.31,0.02,0.1,0.03,0.21,0.1,0.02,0,1,0.01,0.02,0.02,0
packet_write_wait,1,0,0.02,0,0.31,0,0.04,0.03,0,0,0.01,0.02,0.77,0.01,0.02,0.01,0
png_do_expand_palette,1,0.45,0.19,0.01,0.28,0.11,0.21,0,0,0,0.02,0,0.88,0.18,0.18,0.22,0.11
fpAcc,1,0.3,0.05,0,0.27,0.04,0.16,0.29,0.6,0.1,0.03,0,1,0.05,0.04,0.04,0.05
babel_print_v2,1,0.3,0.1,0,0.22,0.14,0.16,0.17,0.56,0.25,0.32,0,0.83,0.31,0.11,0.13,0
png_check_keyword,1,0.27,0,0,0.2,0.08,0,0,0,0,0.25,0.03,0.76,0.17,0,0,0.09
ikev1_n_print,1,0.9,0.3,0,0.19,0.17,0.26,0.17,0.63,0.25,0.21,0,1,0.11,0.16,0.29,0
dhcp6opt_print,1,0.3,0.05,0,0.18,0.28,0.09,0.48,0.59,0.5,0.56,0.01,0.83,0.38,0.05,0.04,0
eigrp_print,1,0.3,0,0,0.18,0.07,0.01,0.04,0,0,0.33,0.01,0.67,0.08,0,0,0
juniper_parse_header,1,0.4,0.19,0.01,0.17,0.14,0.33,0.35,0.63,0.25,0.15,0.03,0.94,0.22,0.2,0.27,0
cip_if_print,1,0.3,0.05,0,0.16,0.02,0.09,0.04,0,0,0.04,0,1,0.04,0.01,0.05,0
rpki_rtr_pdu_print,1,0.3,0,0,0.16,0.04,0,0.17,0.59,0.25,0.12,0,0.83,0.03,0,0,0
bootp_print,1,0.3,0.86,0.01,0.12,0.05,0.89,0,0,0,0.22,0,0.89,0.12,0.67,1,0
asn1_parse,1,0.4,0.28,0.02,0.11,0.26,0.34,0.22,0.56,0,0.06,0.06,0.83,0.12,0.3,0.44,0
isis_print_extd_ip_reach,1,0.4,0.16,0,0.11,0.06,0.21,0.43,0.56,0.5,0.09,0.01,1,0.11,0.16,0.25,0
ripng_print,1,0.3,0.12,0,0.1,0.04,0.15,0.09,0.56,0.25,0.06,0,0.89,0.07,0.12,0.12,0
print_trans,1,0.5,0.07,0,0.09,0.03,0.16,0.43,0.81,1,0.09,0,1,0.04,0.08,0.07,0
udp_print,0,0.5,0,0,1,0.22,0,0.13,0.56,0,0.57,0,1,0.4,0,0,0
_TIFFPrintField,0,0.4,0.1,0,1,0.05,0.17,0.05,0.3,0.1,0.11,0,0.89,0.16,0.11,0.06,0
pr_netacl_create,0,0.2,0.37,0,1,0.18,0.32,0.09,0.03,0.14,0.13,0,0.95,0.31,0.99,0.97,0.08
pr_netacl_create,0,0.2,0.37,0,1,0.18,0.32,0.09,0.03,0.14,0.13,0,0.95,0.31,0.99,0.97,0.08
png_push_read_chunk,0,0.18,0.7,0,1,0.21,0.4,0,0,0,1,0,1,0.72,0.6,0.65,0
ssh_packet_set_state,0,0.11,0.45,0,1,0.05,0.42,0.4,0.25,0,0.16,0,1,0.09,0.58,0.56,0
sudo_conversation,0,0,0.06,0,1,0.24,0.16,0.36,0.16,0,0.28,0.03,0.83,0.22,0.08,0.13,0
png_read_end,0,0.18,0,0,0.98,0.06,0,0,0,0,0.48,0.02,0.88,0.34,0,0,0
png_read_end,0,0.18,0,0,0.98,0.06,0,0,0,0,0.48,0.02,0.88,0.34,0,0,0
png_read_info,0,0.18,0,0,0.98,0.08,0,0,0,0,0.49,0.02,0.94,0.39,0,0,0
png_read_info,0,0.18,0,0,0.98,0.08,0,0,0,0,0.49,0.02,0.94,0.39,0,0,0
ssh_packet_get_state,0,0.11,0.38,0,0.96,0.03,0.35,0.14,0.2,0,0.14,0,1,0.06,0.53,0.45,0
get_next_meta,0,0.4,0.03,0,0.94,1,0.09,0.22,0.08,0.29,1,0,0.84,0.92,0.04,0.03,0.19
set_listoptions,0,0.1,0.15,0,0.94,0.07,0.2,0.04,0.12,0,0.1,0,1,0.13,0.06,0.14,0.35
handle_sigchld_nopty,0,0,0.41,0,0.94,0.28,0.52,0.36,0.42,0,0.41,0.03,0.83,0.38,0.46,0.4,0
kexgex_hash,0,1,0.25,0,0.92,0.05,0.27,0.03,0.07,0.7,0.1,0,0.85,0.03,0.36,0.3,0.03
pkcs11_fetch_keys_filter,0,0.32,0.39,0,0.88,0.12,0.53,0.17,1,0.1,0.12,0,0.62,0.15,0.25,0.38,0.08
parse_classes,0,0.3,0.18,0,0.88,0.13,0.18,0.13,0.01,0.43,0.06,0,0.95,0.24,0.17,0.29,0.15
facts_opts_mlst,0,0.1,0.15,0,0.85,0.1,0.22,0.17,0.09,0,0.12,0,1,0.14,0.04,0.15,0.08
sudo_edit_create_tfiles,0,0,0.19,1,0.83,0.33,0.65,0.82,0.39,0.25,0.41,0.03,0.67,0.4,0.7,0.51,0
match_cfg_line,0,0.42,0.5,0,0.81,0.18,0.65,0.49,0.33,0.4,0.16,0,1,0.26,0.59,0.58,0.03
sudo_check_suid,0,0,0.17,0,0.78,0.17,0.3,0.27,0,0.25,0.2,0.03,0.83,0.14,0.14,0.2,0
getln,0,0,0.14,0,0.78,0.15,0.23,0.45,0.03,0.25,0.09,0.06,0.83,0.24,0.43,0.3,0
fwdchannel_cb,0,0,0.11,0,0.78,0.21,0.28,0.27,0.5,0.25,0.17,0,1,0.14,0.24,0.21,0
sshkey_parse_private_pem_fileblob,0,0.21,0.29,0,0.77,0.09,0.35,0.03,0.2,0.1,0.1,0,0.62,0.11,0.36,0.39,0.06
set_createhome,0,0.1,0.28,0,0.74,0.13,0.32,0.39,0.13,0,0.18,0,1,0.2,0.09,0.21,0.31
kex_ecdh_hash,0,0.79,0.19,0,0.73,0.04,0.24,0.03,0.03,0.7,0.08,0,0.85,0.03,0.24,0.22,0.03
kex_c25519_hash,0,0.79,0.19,0,0.73,0.04,0.24,0.03,0.03,1,0.08,0,0.85,0.03,0.24,0.22,0.03
kex_dh_hash,0,0.74,0.19,0,0.73,0.04,0.23,0.03,0.05,0.7,0.08,0,0.85,0.03,0.24,0.22,0.03
sudo_load_plugin,0,0,0.52,0,0.72,0.3,0.61,0.27,0.58,0,0.28,0.13,0.67,0.28,0.38,0.39,0
sudo_stat_plugin,0,0,0.26,0,0.72,0.15,0.36,0.18,0.13,0.25,0.2,0.03,0.33,0.16,0.32,0.23,0
mon_handle_sigchld,0,0,0.23,0,0.72,0.16,0.37,0.36,0.32,0,0.3,0.03,0.83,0.21,0.27,0.27,0
write_callback,0,0,0.23,0,0.72,0.22,0.36,0.27,0.61,0.25,0.31,0,1,0.19,0.24,0.24,0
backchannel_cb,0,0,0.23,0,0.72,0.23,0.31,0.18,0.45,0.25,0.19,0,1,0.12,0.22,0.21,0
del_io_events,0,0,0.18,0.02,0.72,0.16,0.35,0.09,0.55,0,0.2,0.06,0.5,0.29,0.41,0.47,0
init_signals,0,0,0.1,0,0.72,0.14,0.22,0.09,0.05,0,0.11,0.03,0.83,0.1,0.16,0.16,0
sudo_edit_copy_tfiles,0,0,0.1,0.23,0.72,0.33,0.57,0.82,0.39,0,0.3,0.03,0.67,0.22,0.51,0.36,0
TIFFPrintDirectory,0,0.3,0.67,0,0.7,0.42,0.84,0.19,0.97,0,1,0,1,0.83,0.71,0.8,0
TIFFPrintDirectory,0,0.3,0.67,0,0.7,0.42,0.84,0.19,0.97,0,1,0,1,0.83,0.71,0.8,0
globtilde,0,0.21,0.13,0,0.69,1,0.25,0.11,0.14,0.2,0.3,0,0.85,0.89,0.15,0.23,1
client_loop,0,0.16,1,0,0.69,0.21,1,0.29,0,0,0.53,0,0.77,0.35,0.46,0.76,0
cert_parse,0,0.16,0.41,0,0.69,0.09,0.46,0.14,0.21,0,0.14,0,1,0.11,0.39,0.5,0
channel_handle_efd,0,0.16,0.25,0,0.69,0.04,0.28,0.06,0.15,0,0.06,0,0.92,0.06,0.24,0.28,0
client_input_channel_req,0,0.16,0.19,0,0.69,0.06,0.29,0.14,0.16,0.1,0.07,0,1,0.06,0.15,0.17,0
kex_from_blob,0,0.11,0.18,0,0.69,0.03,0.2,0.03,0.29,0,0.06,0,0.92,0.04,0.24,0.2,0.06
sshkey_private_deserialize,0,0.11,0.1,0,0.69,0.17,0.2,0.23,0.17,0,0.25,0,0.54,0.23,0.07,0.1,0.06
pr_parser_parse_file,0,0.4,0.26,0,0.68,0.22,0.35,0.13,0.19,0.14,0.16,0,0.84,0.25,0.42,0.53,0
pr_parser_parse_file,0,0.4,0.26,0,0.68,0.22,0.35,0.13,0.19,0.14,0.16,0,0.84,0.25,0.42,0.53,0
poll_ctrl,0,0,0.19,0,0.68,0.09,0.25,0.04,0,0,0.18,0,0.89,0.08,0.04,0.13,0.04
_TIFFVSetField,0,0.3,1,0,0.67,0.65,1,0.24,0.71,0,0.6,0,1,0.57,1,1,0
exec_setup,0,0,0.25,0,0.67,0.26,0.29,0.18,0.34,0.25,0.43,0.03,0.33,0.5,0,0.23,0
get_user_groups,0,0,0.21,0,0.67,0.18,0.41,0.73,0.21,0,0.26,0.03,0.67,0.21,0.27,0.26,0
restore_signals,0,0,0.03,0,0.67,0.06,0.17,0.09,0.03,0,0.07,0.06,0.33,0.09,0.05,0.11,0
_dispatch,0,0.4,0.37,0,0.65,0.14,0.4,0.26,0.13,0.14,0.14,0.03,0.74,0.34,0.46,0.48,0
process_escapes,0,0.32,0.13,0,0.65,0.21,0.26,0.23,0.24,0.1,0.23,0,0.62,0.18,0.14,0.24,0.06
ssh_krl_from_blob,0,0.21,0.8,0,0.65,0.28,0.76,0.4,0.38,0,0.25,0,0.69,0.31,0.81,1,0.06
ssh_packet_read_poll_seqnr,0,0.16,0.34,0,0.65,0.14,0.35,0.11,0.17,0.2,0.09,0,0.62,0.07,0.32,0.41,0
channel_pre_open,0,0.16,0.23,0,0.65,0.03,0.23,0.03,0.15,0,0.05,0,0.92,0.06,0.22,0.3,0
sshkey_try_load_public,0,0.16,0.18,0,0.65,0.05,0.26,0.11,0.21,0.2,0.03,0,0.69,0.08,0.15,0.23,0.06
channel_post_connecting,0,0.16,0.18,0,0.65,0.06,0.31,0.09,0.15,0,0.12,0,1,0.05,0.02,0.1,0
ssh_remove_identity,0,0.11,0.13,0,0.65,0.04,0.18,0.11,0.08,0,0.06,0,1,0.06,0.12,0.14,0
kex_to_blob,0,0.11,0.1,0,0.65,0.01,0.12,0.03,0.16,0,0.03,0,0.92,0.01,0.15,0.11,0
sshkey_private_serialize,0,0.11,0.03,0,0.65,0.08,0.09,0.03,0.07,0,0.14,0,0.62,0.1,0.03,0.05,0
add_limit,0,0.1,0.22,0,0.65,0.09,0.23,0.48,0.15,0,0.11,0,1,0.18,0.2,0.22,0.35
set_socketoptions,0,0.1,0.18,0,0.65,0.09,0.23,0,0.06,0,0.12,0,1,0.13,0.11,0.12,0.12
set_caps,0,0.1,0.12,0,0.65,0.06,0.15,0.04,0.12,0,0.05,0,1,0.13,0.11,0.13,0.04
sshbuf_check_sanity,0,0.05,0.12,0,0.65,0.01,0.14,0,0.03,0,0.02,0.01,0.81,0.01,0.12,0.18,0
channel_output_poll,0,0,0.39,0.01,0.65,0.11,0.48,0.06,0.15,0,0.13,0,0.69,0.17,0.37,0.48,0
log_sess_init,0,0,0.16,0,0.65,0.15,0.22,0.04,0.04,0,0.09,0,0.95,0.15,0.16,0.1,0
process_config_line_depth,0,0.53,0.17,0,0.62,0.96,0.27,0.63,0.47,0.5,0.59,0,0.88,1,0.15,0.22,0.53
hostkeys_foreach,0,0.32,0.51,0,0.62,0.18,0.6,0.31,0.22,0.5,0.12,0.01,0.69,0.23,0.51,0.64,0.03
pr_ipbind_close,0,0.3,0.13,0.01,0.62,0.09,0.21,0,0,0,0.05,0,1,0.14,0.21,0.33,0
pr_ipbind_close,0,0.3,0.13,0.01,0.62,0.09,0.21,0,0,0,0.05,0,1,0.14,0.21,0.33,0
sshkey_cert_check_authority,0,0.26,0.14,0,0.62,0.07,0.22,0.09,0.05,0.2,0.01,0,0.85,0.09,0.19,0.25,0.19
process_mux_new_session,0,0.21,0.54,0,0.62,0.21,0.69,0.31,0.39,0,0.28,0,1,0.15,0.27,0.47,0
readpassphrase,0,0.21,0.44,0,0.62,0.13,0.63,0.26,0.1,0.2,0.14,0,0.88,0.18,0.31,0.42,0.06
channel_handler,0,0.21,0.13,0,0.62,0.05,0.23,0.09,0.15,0.2,0.02,0,0.62,0.08,0.14,0.16,0.06
channel_handle_wfd,0,0.16,0.38,0,0.62,0.08,0.38,0.14,0.17,0,0.1,0,0.92,0.12,0.29,0.44,0
uncompress_buffer,0,0.16,0.12,0,0.62,0.04,0.21,0.09,0.12,0,0.02,0,0.46,0.03,0.1,0.18,0
compress_buffer,0,0.16,0.11,0,0.62,0.04,0.2,0.09,0.12,0,0.02,0,0.69,0.04,0.05,0.16,0
to_blob_buf,0,0.16,0.08,0,0.62,0.06,0.14,0.09,0.08,0,0.07,0,0.62,0.11,0.05,0.12,0
vasprintf,0,0.16,0,0,0.62,0.05,0,0,0,0,0.05,0,0.85,0.04,0,0,0.08
revoked_certs_generate,0,0.11,0.56,0,0.62,0.2,0.5,0.29,0.17,0,0.14,0,0.92,0.21,0.73,0.68,0
tty_parse_modes,0,0.11,0.22,0,0.62,0.14,0.24,0.17,0.01,0.1,0.1,0,1,0.1,0.19,0.19,0.06
read_passphrase,0,0.11,0.21,0,0.62,0.05,0.27,0.17,0.02,0.1,0.07,0.01,0.96,0.09,0.05,0.24,0
addr_match_cidr_list,0,0.11,0.18,0,0.62,0.08,0.27,0.17,0.03,0.2,0.05,0,1,0.07,0.15,0.22,0
sshkey_names_valid2,0,0.11,0.16,0,0.62,0.04,0.19,0.11,0.04,0.1,0.03,0,1,0.07,0.14,0.22,0
fingerprint_bubblebabble,0,0.11,0.05,0,0.62,0.05,0.34,0.2,0.01,0.1,0,0,1,0.03,0.07,0.1,0
sshkey_demote,0,0.11,0.03,0,0.62,0.09,0.14,0.03,0.15,0,0.07,0,0.92,0.09,0.03,0.07,0.06
set_authunixoptions,0,0.1,0.08,0,0.62,0.04,0.11,0.04,0.12,0,0.04,0,1,0.06,0.02,0.07,0.04
closefrom,0,0.05,0.15,0,0.62,0.03,0.22,0.14,0.01,0,0.04,0,0.85,0.04,0.19,0.16,0
client_input_hostkeys,0,0,0.5,0,0.62,0.12,0.63,0.14,0.26,0,0.22,0,0.92,0.2,0.27,0.49,0
channel_not_very_much_buffered_data,0,0,0.05,0,0.62,0.02,0.12,0.03,0.15,0,0.03,0,0.62,0.03,0.07,0.07,0
exec_pty,0,0,1,0,0.61,0.72,1,0.45,1,0,0.8,0.03,0.5,0.84,0.78,1,0
sudo_load_plugins,0,0,0.34,0,0.61,0.21,0.35,0.18,0.74,0,0.26,0.03,0.83,0.24,0.16,0.3,0
handle_sigchld_pty,0,0,0.15,0,0.61,0.14,0.27,0.36,0.45,0,0.28,0.03,0.83,0.09,0.14,0.13,0
set_user_groups,0,0,0.13,0,0.61,0.09,0.18,0.18,0.34,0,0.15,0.06,0.17,0.09,0,0.1,0
mon_signal_cb,0,0,0.11,0,0.61,0.07,0.14,0.09,0.37,0.25,0.11,0,1,0.1,0.14,0.11,0
utmp_logout,0,0,0.11,0,0.61,0.12,0.17,0.18,0,0.25,0.17,0.06,0.83,0.1,0.03,0.11,0
exec_cmnd,0,0,0.1,0,0.61,0.11,0.22,0.09,0.34,0,0.2,0.13,0.5,0.1,0.05,0.1,0
utmp_login,0,0,0.1,0,0.61,0.17,0.15,0.18,0,0.75,0.17,0.03,0.17,0.17,0.03,0.07,0
add_io_events,0,0,0.05,0.02,0.61,0.09,0.21,0.09,0.55,0,0.11,0.1,0.67,0.1,0.19,0.17,0
listfile,0,0.4,0.6,0,0.59,0.31,0.67,0.48,0.08,0.29,0.2,0,0.89,0.62,0.4,0.79,0
dolist,0,0.4,0.57,0.01,0.59,0.3,0.6,0.13,0.07,0.29,0.28,0,0.95,0.54,0.4,0.67,0.08
build_dyn_config,0,0.4,0.28,0,0.59,0.15,0.35,0.26,0.11,0.14,0.13,0,0.89,0.25,0.63,0.64,0.27
build_dyn_config,0,0.4,0.28,0,0.59,0.15,0.35,0.26,0.11,0.14,0.13,0,0.89,0.25,0.63,0.64,0.27
core_chdir,0,0.2,0.34,0,0.59,0.15,0.38,0.26,0.21,0.14,0.22,0,0.95,0.29,0.36,0.28,0.08
netaddr_get_dnsstr_gethostbyname,0,0.2,0.14,0,0.59,0.08,0.16,0.17,0.03,0.14,0.06,0,0.74,0.15,0.09,0.16,0
check_group_access,0,0.2,0.07,0,0.59,0.05,0.12,0.04,0.08,0.14,0.02,0,0.68,0.09,0.05,0.09,0
ls_nlst,0,0.1,0.69,0.01,0.59,0.36,0.72,0.35,0.14,0,0.48,0,1,0.52,0.35,0.62,0
pr_throttle_init,0,0.1,0.13,0,0.59,0.11,0.2,0.22,0.13,0,0.04,0,0.95,0.11,0.29,0.37,0
pr_throttle_init,0,0.1,0.13,0,0.59,0.11,0.2,0.22,0.13,0,0.04,0,0.95,0.11,0.29,0.37,0
find_ls_limit,0,0.1,0.05,0,0.59,0.03,0.09,0,0.12,0.14,0.01,0,0.95,0.08,0.06,0.09,0
ssh_connect_direct,0,0.47,0.21,0,0.58,0.07,0.36,0.14,0.05,0.2,0.08,0,0.77,0.07,0.15,0.19,0
getnameinfo,0,0.37,0,0,0.58,0.04,0,0,0,0,0.03,0.01,0.54,0.06,0,0,0
sshkey_private_to_blob2,0,0.32,0.64,0,0.58,0.14,0.7,0.4,0.2,0.3,0.24,0,0.77,0.21,0.64,0.65,0
sshkey_parse_private2,0,0.26,0.77,0,0.58,0.2,0.83,0.63,0.29,0.2,0.25,0,0.62,0.28,0.78,0.93,0.11
x11_create_display_inet,0,0.26,0.34,0,0.58,0.13,0.52,0.23,0.23,0.2,0.1,0,1,0.12,0.32,0.36,0.11
parse_forward,0,0.21,0.49,0,0.58,0.13,0.42,0.09,0.06,0.1,0.14,0,0.92,0.14,0.27,0.57,0
ssh_krl_to_blob,0,0.21,0.38,0,0.58,0.11,0.38,0.11,0.23,0,0.14,0,1,0.11,0.42,0.4,0
channel_fwd_bind_addr,0,0.21,0.2,0,0.58,0.04,0.19,0.06,0.01,0.2,0.03,0,0.54,0.06,0.1,0.26,0.03
sshkey_certify,0,0.16,0.49,0,0.58,0.09,0.48,0.2,0.17,0.1,0.16,0,0.92,0.13,0.59,0.55,0
ssh_fetch_identitylist,0,0.16,0.26,0,0.58,0.09,0.35,0.17,0.06,0,0.05,0,0.62,0.12,0.32,0.4,0.03
channel_handle_rfd,0,0.16,0.22,0,0.58,0.05,0.26,0.09,0.15,0,0.05,0,0.92,0.06,0.19,0.25,0
detect_attack,0,0.16,0.2,0,0.58,0.07,0.35,0.2,0.03,0.1,0.04,0,0.46,0.11,0.17,0.34,0
cipher_get_keyiv,0,0.16,0.15,0,0.58,0.05,0.19,0.03,0.03,0.1,0.03,0,0.92,0.09,0.14,0.26,0
dump_cfg_forwards,0,0.16,0.14,0,0.58,0.04,0.17,0.03,0.07,0,0.04,0,0.77,0.06,0.1,0.12,0
parse_revoked_certs,0,0.11,0.44,0,0.58,0.11,0.41,0.26,0.16,0,0.14,0,0.62,0.16,0.39,0.49,0
port_open_helper,0,0.11,0.22,0,0.58,0.1,0.33,0.14,0.17,0.1,0.14,0,0.62,0.06,0.03,0.1,0
host_delete,0,0.11,0.17,0,0.58,0.04,0.28,0.06,0.08,0.1,0.04,0,1,0.08,0.07,0.24,0
addr_match_list,0,0.11,0.17,0,0.58,0.06,0.25,0.2,0.03,0.2,0.03,0,0.85,0.07,0.19,0.23,0
match_pattern,0,0.11,0.12,0,0.58,0.03,0.14,0,0,0.2,0.01,0.01,0.65,0.07,0.1,0.25,0
mux_client_forwards,0,0.11,0.09,0,0.58,0.02,0.18,0.06,0,0,0.01,0,1,0.04,0.05,0.11,0
sshkey_equal_public,0,0.11,0.04,0,0.58,0.04,0.1,0,0.1,0,0.08,0.01,0.77,0.04,0.07,0.07,0
update_known_hosts,0,0.05,0.25,0,0.58,0.08,0.34,0.17,0.06,0,0.08,0,0.85,0.1,0.22,0.28,0
muxclient,0,0.05,0.23,0,0.58,0.11,0.3,0.09,0,0.1,0.17,0,0.85,0.11,0.17,0.2,0
client_process_output,0,0.05,0.18,0,0.58,0.03,0.22,0.06,0,0,0.07,0,0.69,0.04,0.14,0.17,0
client_process_input,0,0.05,0.15,0,0.58,0.03,0.21,0.06,0,0,0.05,0,0.69,0.05,0.14,0.12,0
ssh_packet_enable_delayed_compress,0,0.05,0.1,0,0.58,0.03,0.15,0.06,0.17,0,0.01,0,0.62,0.05,0.12,0.16,0
sshkey_add_private,0,0.05,0.01,0,0.58,0.06,0.06,0,0.05,0,0.03,0,0.85,0.02,0.02,0.03,0
client_check_initial_eof_on_stdin,0,0,0.09,0,0.58,0.03,0.15,0.06,0,0,0.04,0,0.69,0.03,0.05,0.07,0
log_postparse_ev,0,0.2,0.06,0,0.56,0.05,0.1,0,0.06,0.29,0.04,0,1,0.05,0.05,0.03,0
xfer_stor,0,0.1,0.44,0,0.56,0.52,0.51,0.48,0.07,0,0.34,0,1,0.3,0.2,0.25,0.04
auth_post_pass,0,0.1,0.35,0,0.56,0.16,0.45,0.39,0.15,0,0.17,0,1,0.31,0.31,0.42,0
set_authuserfile,0,0.1,0.21,0,0.56,0.15,0.31,0.09,0.17,0,0.11,0,1,0.14,0.12,0.13,0.04
dir_hide_file,0,0.1,0.19,0,0.56,0.11,0.23,0.35,0.07,0.14,0.08,0,0.89,0.24,0.57,0.49,0.04
dir_hide_file,0,0.1,0.19,0,0.56,0.11,0.23,0.35,0.07,0.14,0.08,0,0.89,0.24,0.57,0.49,0.04
set_allowdenyusergroupclass,0,0.1,0.15,0,0.56,0.08,0.23,0.13,0.14,0,0.09,0,1,0.08,0.05,0.11,0.15
end_virtualhost,0,0.1,0.12,0,0.56,0.06,0.18,0.09,0.24,0,0.06,0,1,0.13,0.09,0.13,0
find_max_nbytes,0,0.1,0.12,0,0.56,0.09,0.16,0.26,0.06,0.14,0.03,0,0.95,0.11,0.18,0.17,0
pr_log_str2sysloglevel,0,0.1,0.06,0,0.56,0.03,0.06,0,0,0.14,0.03,0,0.95,0.07,0,0.17,0
pr_log_str2sysloglevel,0,0.1,0.06,0,0.56,0.03,0.06,0,0,0.14,0.03,0,0.95,0.07,0,0.17,0
signal_cb_nopty,0,0,0.31,0,0.56,0.16,0.34,0.18,0.47,0.25,0.19,0,1,0.26,0.43,0.34,0
read_callback,0,0,0.3,0,0.56,0.2,0.39,0.27,0.61,0.25,0.31,0,1,0.17,0.22,0.3,0
tgetpass,0,0,0.29,0.27,0.56,0.42,0.58,0.73,0.34,0.25,0.52,0.03,1,0.45,0.46,0.59,0
